software,predictor,contrast,posterior_mean,posterior_median,ci_lower,ci_upper
BART,sbp,90th vs. 10th percentile,1.5235381697205337,1.4899294512937917,1.0851967442683281,2.1636595390249287
BART,smoker_current,1 vs 0,1.0358721537301725,1.0232529560995318,0.7788232192038433,1.3666237129513175
BART,smoker_current,Missing vs 0,0.8405606349553552,0.8360310294163726,0.6797155567528429,1.0299625753908954
BART,hdl_c,90th vs. 10th percentile,0.3625529897207146,0.35909390213833725,0.23512651842324034,0.49883157558662156
BART,tot_chol,90th vs. 10th percentile,0.33288572876340283,0.325441386081852,0.1774535823234148,0.5596176960227921
BART,bp_treated,0 vs 1,0.7398407797808279,0.6894884600237097,0.5144721111689554,1.2695915187906808
dbarts::bart,sbp,90th vs. 10th percentile,1.4263654889122088,1.400096050784759,0.9800495359437111,2.0331416639487383
dbarts::bart,smoker_current,1 vs 0,0.9755955446830071,0.9651951378889252,0.7452809789099598,1.2675623244111491
dbarts::bart,smoker_current,Missing vs 0,0.823614123523733,0.818855760604761,0.6693535010159445,1.0050965917122099
dbarts::bart,hdl_c,90th vs. 10th percentile,0.3446184955714339,0.34167792082348825,0.22088325778907547,0.4873897392250341
dbarts::bart,tot_chol,90th vs. 10th percentile,0.32455250745811604,0.3141684909572333,0.20244771085498373,0.5013813646210588
dbarts::bart,bp_treated,0 vs 1,0.6732370226726047,0.6638698761196125,0.5083811373708838,0.8939518071675076
dbarts::bart2,sbp,90th vs. 10th percentile,15.195745918340595,2.3471143042693505,1.1407763669346667,137.1077606225483
dbarts::bart2,smoker_current,1 vs 0,2.613733555795417,1.3134745767389049,0.8598492402158111,9.576831579694234
dbarts::bart2,smoker_current,Missing vs 0,1.1030208374477573,0.8273733005055359,0.6258097172393673,2.1695444331511538
dbarts::bart2,hdl_c,90th vs. 10th percentile,0.3924234331883796,0.3840972644275369,0.1313448791776685,0.6388576789424296
dbarts::bart2,tot_chol,90th vs. 10th percentile,0.4919810704114077,0.44369458537944484,0.19763857384148995,1.0469965113905773
dbarts::bart2,bp_treated,0 vs 1,1.7965562293303565,1.1136881249522061,0.5510434398877084,7.028299402103135
flexBART,sbp,90th vs. 10th percentile,1.354586570185182,1.3344886974502765,1.0156384525617048,1.8063089671602943
flexBART,smoker_current,1 vs 0,1.013776876349355,1,0.7773994157582922,1.281622908392536
flexBART,smoker_current,Missing vs 0,0.8598281129330508,0.8513978313178274,0.6981075688771174,1.011575442103335
flexBART,hdl_c,90th vs. 10th percentile,0.373340126464712,0.36910878634812716,0.2643694857191806,0.5029045189980836
flexBART,tot_chol,90th vs. 10th percentile,0.32278731369190894,0.30578783922814445,0.19446470411809225,0.5267414065634604
flexBART,bp_treated,0 vs 1,0.6890254351802217,0.6764913977698679,0.533147995595278,0.9136971695657194
