predictor,contrast,beta_x,beta_y,quantity,rhat,bulk_ess,tail_ess
sbp,153.666666666667 vs 106.333333333333,0,0,PRR,1.0086876488880223,1118.5294103095325,1700.4127190603335
sbp,153.666666666667 vs 106.333333333333,0,0,U prevalence,NA,NA,NA
sbp,153.666666666667 vs 106.333333333333,0.5,0.5,PRR,1.005632159764492,1092.4441321484876,1709.9873293743017
sbp,153.666666666667 vs 106.333333333333,0.5,0.5,U prevalence,1.0004179593195086,1687.0712331872267,1903.1087740700016
sbp,153.666666666667 vs 106.333333333333,0.5,-0.5,PRR,1.02812863759702,229.21892606140565,1044.105000401984
sbp,153.666666666667 vs 106.333333333333,0.5,-0.5,U prevalence,1.000779265944457,1533.7311703813864,1653.152532453024
smoker_current,1 vs 0,0,0,PRR,1.0110915037022907,886.2396123430348,1660.8028682515837
smoker_current,1 vs 0,0,0,U prevalence,NA,NA,NA
smoker_current,1 vs 0,0.5,0.5,PRR,1.0095701297355177,1228.8797748396316,1196.6836920719184
smoker_current,1 vs 0,0.5,0.5,U prevalence,1.0012664108600315,1208.9466305928468,1735.2975622956374
smoker_current,1 vs 0,0.5,-0.5,PRR,1.007719089095941,984.478079909029,1734.3878300161718
smoker_current,1 vs 0,0.5,-0.5,U prevalence,1.0035692376498682,1381.6248573730265,1776.0635900885516
smoker_current,Missing vs 0,0,0,PRR,1.006354419196403,1092.6264549469606,1718.1822175296873
smoker_current,Missing vs 0,0,0,U prevalence,NA,NA,NA
smoker_current,Missing vs 0,0.5,0.5,PRR,1.0068610429294327,1196.645459350222,1792.4762493686064
smoker_current,Missing vs 0,0.5,0.5,U prevalence,1.0048360197847448,970.1018640212948,1729.220595389751
smoker_current,Missing vs 0,0.5,-0.5,PRR,1.0108378129799738,1090.0231125549121,1566.8804142627262
smoker_current,Missing vs 0,0.5,-0.5,U prevalence,1.003462375908461,1055.8439820694332,1566.870437047029
hdl_c,75 vs 36,0,0,PRR,1.0650907524488316,90.62046284897966,560.5299106377665
hdl_c,75 vs 36,0,0,U prevalence,NA,NA,NA
hdl_c,75 vs 36,0.5,0.5,PRR,1.0129602967515834,733.7995303631163,1564.8338963315302
hdl_c,75 vs 36,0.5,0.5,U prevalence,1.0005062048431035,1674.6247524827447,1869.239256751371
hdl_c,75 vs 36,0.5,-0.5,PRR,1.0305671458858803,359.880429683087,1094.1774636264297
hdl_c,75 vs 36,0.5,-0.5,U prevalence,1.002600823591569,1323.3349545194023,1750.3112447198848
tot_chol,244 vs 139,0,0,PRR,1.045697214106061,159.00261798719302,684.187644359136
tot_chol,244 vs 139,0,0,U prevalence,NA,NA,NA
tot_chol,244 vs 139,0.5,0.5,PRR,1.0698682970269968,91.34867671762939,626.4741601581649
tot_chol,244 vs 139,0.5,0.5,U prevalence,1.0058434753797947,1668.1298306538401,1801.9173022790173
tot_chol,244 vs 139,0.5,-0.5,PRR,1.057317699400191,110.89916769223782,665.1946913425891
tot_chol,244 vs 139,0.5,-0.5,U prevalence,1.0021061905609479,1594.7284873916647,1845.031021049426
bp_treated,0 vs 1,0,0,PRR,1.0051346672757944,1253.2102825903423,1747.6025310766884
bp_treated,0 vs 1,0,0,U prevalence,NA,NA,NA
bp_treated,0 vs 1,0.5,0.5,PRR,1.0060218142610515,1479.8122011577514,1907.7490297666209
bp_treated,0 vs 1,0.5,0.5,U prevalence,1.0121623467868965,924.0616531976174,1702.233576751629
bp_treated,0 vs 1,0.5,-0.5,PRR,1.0014578974700459,1321.6422636066227,1567.9168328593466
bp_treated,0 vs 1,0.5,-0.5,U prevalence,1.0051381967602604,1011.3656116264225,1735.3600583015013
