quantity,rhat,bulk_ess,tail_ess,predictor,contrast,beta_x,beta_y
PRR,1.009648241406533,270.2220539926057,327.1633873346518,sbp,153.666666666667 vs 106.333333333333,0,0
U prevalence,NA,NA,NA,sbp,153.666666666667 vs 106.333333333333,0,0
PRR,1.026745725042811,287.13116546739195,428.9463817022871,sbp,153.666666666667 vs 106.333333333333,0.5,0.5
U prevalence,1.0072332615749968,317.27922706875347,391.39372344799216,sbp,153.666666666667 vs 106.333333333333,0.5,0.5
PRR,1.0209853783549008,286.53869949967805,426.19086691232394,sbp,153.666666666667 vs 106.333333333333,0.5,-0.5
U prevalence,1.0080527691712144,367.11656840314754,386.4143593350558,sbp,153.666666666667 vs 106.333333333333,0.5,-0.5
PRR,1.0079428380209807,351.289108503273,409.017575420111,smoker_current,1 vs 0,0,0
U prevalence,NA,NA,NA,smoker_current,1 vs 0,0,0
PRR,1.0458931002342176,163.36033458584518,383.097383097383,smoker_current,1 vs 0,0.5,0.5
U prevalence,1.0091189899578377,294.7093749538452,284.65618460100717,smoker_current,1 vs 0,0.5,0.5
PRR,1.0101954802840165,403.534468160696,434.5342973449176,smoker_current,1 vs 0,0.5,-0.5
U prevalence,1.0341774803090653,318.38957811410796,387.3519928468852,smoker_current,1 vs 0,0.5,-0.5
