predictor,contrast,beta_x,beta_y,quantity,rhat,bulk_ess,tail_ess
sbp,153.666666666667 vs 106.333333333333,0,0,PRR,1.0221211725933634,403.3806457178506,701.0017115096899
sbp,153.666666666667 vs 106.333333333333,0,0,U prevalence,NA,NA,NA
sbp,153.666666666667 vs 106.333333333333,0.5,0.5,PRR,1.0282125197638081,302.98987687675947,535.3196074834922
sbp,153.666666666667 vs 106.333333333333,0.5,0.5,U prevalence,1.0104837434143359,659.0464461975284,787.3846777736472
sbp,153.666666666667 vs 106.333333333333,0.5,-0.5,PRR,1.0016263169821535,570.2081916613021,785.6135170165851
sbp,153.666666666667 vs 106.333333333333,0.5,-0.5,U prevalence,1.010653857147711,633.8191072358314,726.5899203606964
smoker_current,1 vs 0,0,0,PRR,1.012108116017278,461.4431414628723,788.9103468180072
smoker_current,1 vs 0,0,0,U prevalence,NA,NA,NA
smoker_current,1 vs 0,0.5,0.5,PRR,1.016018533563965,423.50190765598825,751.4191240365193
smoker_current,1 vs 0,0.5,0.5,U prevalence,0.9992129387697803,589.05892638713,593.7290152352305
smoker_current,1 vs 0,0.5,-0.5,PRR,1.0014325528490704,670.7725992363512,832.1695805132417
smoker_current,1 vs 0,0.5,-0.5,U prevalence,1.0121908959081736,637.5640602265578,711.0336302163287
smoker_current,Missing vs 0,0,0,PRR,1.0166642392609568,389.65278699591363,524.6417193201538
smoker_current,Missing vs 0,0,0,U prevalence,NA,NA,NA
smoker_current,Missing vs 0,0.5,0.5,PRR,1.0083102602438752,633.2766895646131,742.9608244531015
smoker_current,Missing vs 0,0.5,0.5,U prevalence,1.0061115043691884,443.4474013189103,739.2809649187521
smoker_current,Missing vs 0,0.5,-0.5,PRR,1.0170043998196083,510.97091880552244,707.2717819208196
smoker_current,Missing vs 0,0.5,-0.5,U prevalence,1.0099056601366139,523.0506551573421,710.8623625995473
hdl_c,75 vs 36,0,0,PRR,1.0580869267897388,99.47638440281855,366.46588564860684
hdl_c,75 vs 36,0,0,U prevalence,NA,NA,NA
hdl_c,75 vs 36,0.5,0.5,PRR,1.0253022362612942,296.53806908820457,547.0686885034419
hdl_c,75 vs 36,0.5,0.5,U prevalence,1.0106966095907814,770.1084566470014,762.1800451016367
hdl_c,75 vs 36,0.5,-0.5,PRR,1.0501999704726712,145.0671654167018,184.0296023219664
hdl_c,75 vs 36,0.5,-0.5,U prevalence,1.0157894568921428,682.2762134949066,782.6899975622198
tot_chol,244 vs 139,0,0,PRR,1.0803750666457237,70.7622151608605,278.0824243012086
tot_chol,244 vs 139,0,0,U prevalence,NA,NA,NA
tot_chol,244 vs 139,0.5,0.5,PRR,1.1029552358482833,52.56839209475234,384.0965118177323
tot_chol,244 vs 139,0.5,0.5,U prevalence,1.006252036513809,606.1059311178191,682.5013197171231
tot_chol,244 vs 139,0.5,-0.5,PRR,1.0260875294322938,191.2047701459506,470.6444505937347
tot_chol,244 vs 139,0.5,-0.5,U prevalence,1.0008392360074299,702.8730134768545,828.0117690235809
bp_treated,0 vs 1,0,0,PRR,1.0108038816207436,694.6419230606833,671.29182400983575
bp_treated,0 vs 1,0,0,U prevalence,NA,NA,NA
bp_treated,0 vs 1,0.5,0.5,PRR,1.0047583449786948,633.0928439162383,702.3741402238344
bp_treated,0 vs 1,0.5,0.5,U prevalence,1.0054198377812225,460.8148471144167,635.1502516906494
bp_treated,0 vs 1,0.5,-0.5,PRR,1.0077930096413867,593.8093905739411,570.316668235885
bp_treated,0 vs 1,0.5,-0.5,U prevalence,1.019892167771918,266.8409321962018,416.05517791539967
