predictor,contrast,beta_x,beta_y,posterior_mean,posterior_median,ci_lower,ci_upper
sbp,153.666666666667 vs 106.333333333333,0,0,1.414586315978189,1.3890584224945304,1.002964635948502,1.9253751307445204
sbp,153.666666666667 vs 106.333333333333,0.5,0.5,1.0820593621163122,1.0651453101809523,0.7369047504112033,1.5656059715145603
sbp,153.666666666667 vs 106.333333333333,0.5,-0.5,1.9369148144655988,1.8905038858208525,1.3545483708360502,2.693216124410182
smoker_current,1 vs 0,0,0,0.9733656654761466,0.9650741860521757,0.7390360710188135,1.2577605399128444
smoker_current,1 vs 0,0.5,0.5,0.8461114731097967,0.8357131386861681,0.6238620668664593,1.113326686892287
smoker_current,1 vs 0,0.5,-0.5,1.1512119015259241,1.140081163009651,0.8799092598469047,1.4888151149353959
smoker_current,Missing vs 0,0,0,0.8126236412189219,0.8061969656668866,0.6662243056410209,1.0045661031744677
smoker_current,Missing vs 0,0.5,0.5,0.6853665370137534,0.6787217453214415,0.5500381043572915,0.8467063376680435
smoker_current,Missing vs 0,0.5,-0.5,0.9650671806141254,0.9577603560855239,0.7666491459364592,1.1880595712814157
hdl_c,75 vs 36,0,0,0.33446077050289486,0.33181343632784693,0.20676204086309968,0.4777663213336656
hdl_c,75 vs 36,0.5,0.5,0.2442042463630388,0.23809619878183397,0.16434295532545506,0.35498601590664663
hdl_c,75 vs 36,0.5,-0.5,0.45363217136287487,0.4486471243832806,0.2797966486259384,0.6507513739006036
tot_chol,244 vs 139,0,0,0.3246096627938787,0.3157632162937406,0.20274099001593326,0.49567192135105015
tot_chol,244 vs 139,0.5,0.5,0.22794717566479394,0.2180773076171873,0.1357468439493232,0.37015182876799463
tot_chol,244 vs 139,0.5,-0.5,0.41499855818315,0.4019819363987931,0.25734195498095264,0.6432322775015437
bp_treated,0 vs 1,0,0,0.6721159388507186,0.6607937174198104,0.5111729729317173,0.8831818523699083
bp_treated,0 vs 1,0.5,0.5,0.5472796540099348,0.5407002576548879,0.415115763818566,0.7402918771402014
bp_treated,0 vs 1,0.5,-0.5,0.7951972489690516,0.7799043229473557,0.5891329288228148,1.083944510531295
