predictor,contrast,beta_x,beta_y,posterior_mean,posterior_median,ci_lower,ci_upper
sbp,153.666666666667 vs 106.333333333333,0,0,1.4356285677403766,1.4059390773447284,0.9925676465295998,2.0597878433810815
sbp,153.666666666667 vs 106.333333333333,0.5,0.5,1.1005129348696978,1.080241252177334,0.7485886600393941,1.5915554622429033
sbp,153.666666666667 vs 106.333333333333,0.5,-0.5,1.9691876558781047,1.9218738908167179,1.347569298790512,2.836841814622963
smoker_current,1 vs 0,0,0,0.9717782638734328,0.9621808694601017,0.7400040424654167,1.265208529242609
smoker_current,1 vs 0,0.5,0.5,0.8322617225004254,0.822603786195051,0.6253852555954946,1.0975545296473554
smoker_current,1 vs 0,0.5,-0.5,1.1452428800706016,1.1340919138754493,0.8601753055044437,1.5148477811736787
smoker_current,Missing vs 0,0,0,0.8154824589035057,0.8125095492490306,0.6618868620128748,0.9861674737524725
smoker_current,Missing vs 0,0.5,0.5,0.6874175557818247,0.6835700731392504,0.5516796876443505,0.843194160657362
smoker_current,Missing vs 0,0.5,-0.5,0.9594826118916221,0.9551090913217818,0.7682840287550179,1.1850481900748642
hdl_c,75 vs 36,0,0,0.3398284568917975,0.3364841601772189,0.2190129709255042,0.4887883384303052
hdl_c,75 vs 36,0.5,0.5,0.23928793604002163,0.2349803982493704,0.155579472931822,0.34476723708260537
hdl_c,75 vs 36,0.5,-0.5,0.4542010395591953,0.4510819743004815,0.2813604234909007,0.6579857316817493
tot_chol,244 vs 139,0,0,0.3357394831207341,0.3268989516682268,0.19761417905914005,0.5283229016373376
tot_chol,244 vs 139,0.5,0.5,0.22926744931543908,0.21926878039147502,0.13701427802556995,0.3618258384398309
tot_chol,244 vs 139,0.5,-0.5,0.4251208396589567,0.4112337255639245,0.2564523831912207,0.6790515109119976
bp_treated,0 vs 1,0,0,0.6689990137262063,0.6599059576503158,0.5048123715610399,0.886021715734247
bp_treated,0 vs 1,0.5,0.5,0.5512635034878847,0.5426544944681875,0.41371203903921894,0.7265082965133413
bp_treated,0 vs 1,0.5,-0.5,0.8056702951281507,0.7865642322499365,0.5980083163103883,1.1100062298060027
